name,source,gender,wikidata,type
"La piste cyclable qui sert à faire augmenter les statistiques de la commune de  Namur",,,,way
"Le Pays de Liège - Payis d'Lîdje",,,,way
"Le Val Vert",,,,way
"Les Hauts de Meuse",,,,way
"Les Marlères",,,,way
"Les Potales",,,,way
"Les Trîs",,,,way
"Les Trois Bonniers",,,,way
"Li P'tite Griplote",,,,way
"Longue Voie",,,,way
"Marché Saint-Remy",,,,way
"Marché au Chanvre",,,,way
"Mauvais Trî-Mwais Trî",,,,way
"Mont de Beez",,,,way
"Montagne Sainte Barbe",,,,way
"Montagne d'Hastedon",,,,way
"Noûri Cortil",,,,way
"Nouveau Chemin de Saint-Marc",,,,way
"Nouvelle Route de Suarlée",,,,way
"Pachi Zabette",,,,way
"Paradis des Lièvres",,,,way
"Parc Astrid",,,,way
"Passage d'Herbatte",,,,way
"Passage d'Heuvy",,,,way
"Passage de l'Atelier",,,,way
"Passage de la Gare",,,,way
"Passerelle Saint-Aubain",,,,way
"Passerelle d'Herbatte",,,,way
"Pays-Liège-Payis d'Lîdje",,,,way
"Petit Sentier",,,,way
"Petite Rue",,,,way
"Pîsinte del Tayète",,,,way
"Pîsinte del Tère al Mauvelète",,,,way
"Pîsinte dès Dièleûs",,,,way
"Pîsinte dès Djinièsses",,,,way
"Pîsinte do P'tit Bwè",,,,way
"Pîsinte do Pré Cap",,,,way
"Place Abbé Joseph André",,,,way
"Place Albert Ier",,,,way
"Place André Ryckmans",,,,way
"Place Arthur Borlée",,,,way
"Place Berthezène",,,,way
"Place Brunehaut",,,,way
"Place Chanoine Descamps",,,,way
"Place Chapelle",,,,way
"Place François Bovesse",,,,way
"Place Froidebise",,,,way
"Place Gustave Falmagne",,,,way
"Place Jacques Madelin",,,,way
"Place Jean de Flandre",,,,way
"Place José Romain",,,,way
"Place Joséphine Charlotte",,,,way
"Place Kegeljan",,,,way
"Place Léopold",,,,way
"Place Louise Godin",,,,way
"Place Marché aux Légumes",,,,way
"Place Maurice Servais",,,,way
"Place Monseigneur Heylen",,,,way
"Place Notre-Dame de la Paix",,,,way
"Place Saint-Aubain",,,,way
"Place Sainte-Marguerite",,,,way
"Place Vicaire Edmond Servais",,,,relation
"Place Victor Cornet",,,,way
"Place Wiertz",,,,way
"Place Willy Dieudonné",,,,way
"Place d'Armes",,,,way
"Place d'Hastedon",,,,way
"Place d'Omalius",,,,way
"Place de Berck-sur-Mer",,,,way
"Place de Longuenesse",,,,way
"Place de Québec",,,,way
"Place de Saint-Marc",,,,way
"Place de l'Ange",,,,way
"Place de l'École des Cadets",,,,way
"Place de l'Ecole du Génie",,,,way
"Place de la Station",,,,way
"Place de la Wallonie",,,,way
"Place des Célestines",,,,way
"Place des Chevaliers avec Glaives",,,,way
"Place des Jardins de Baseilles",,,,way
"Place des Tilleuls",,,,way
"Place do Bia Bouquet",,,,way
"Place du 150ème Anniversaire",,,,way
"Place du Carillon",,,,way
"Place du Chapître",,,,way
"Place du Couvent",,,,way
"Place du Fort de Dave",,,,way
"Place du Huit Mai",,,,way
"Place du Malpas",,,,way
"Place du Palais de Justice",,,,way
"Place du Terminus",,,,way
"Place du Théâtre",,,,way
"Place du Vierly",,,,way
"Place l'Ilon",,,,way
"Plateau du Tram",,,,way
"Pont de France",,,,way
"Pont de Wépion",,,,way
"Pont de l'Évêché",,,,way
"Pont des Ardennes",,,,way
"Pont des Grands Malades",,,,way
"Pont des Hollandais",,,,way
"Pont des Vallées",,,,way
"Pré Lutin",,,,way
"Pré d'Alvaux",,,,way
"Pré du Stokî",,,,way
Pré-des-Praules,,,,way
"Promenade de Marchonvaux",,,,way
"Promenade de Meuse",,,,way
"Promenade de l’Ecluse",,,,way
"Promenade de la Douceur Mosane",,,,way
"Promenade des Terres Anciennes",,,,way
"Quai Brumagne",,,,way
"Quai Ferdinand Courtois",,,,way
"Quai de Meuse",,,,way
"Quai de Salzinnes",,,,way
"Quai de l'Abbaye",,,,way
"Quai de l'Écluse",,,,way
"Quai de l'Etoile",,,,way
"Quai des Chasseurs Ardennais",,,,way
"Quai des Joghiers",,,,way
"Quatre Gros Sous",,,,way
RAVeL,,,,way
"RAVeL 1",,,,way
"RAVeL 2",,,,way
"Rampe Verte",,,,way
"Rampe du Comte Albert II",,,,way
"Rempart de la Vierge",,,,way
"Rivage de Meuse",,,,way
"Rond-Point Michel Thonard",,,,way
"Rond-Point d'Herbatte",,,,way
"Rond-Point de Bomel",,,,way
"Rond-Point du Grognon",,,,way
"Rond-Point du Nord",,,,way
"Route Merveilleuse",,,,way
"Route Militaire",,,,way
"Route Nouvelle",,,,way
"Route Royale",,,,way
"Route d'Insepré",,,,way
"Route de Floreffe",,,,way
"Route de Hannut",,,,way
"Route de Louvain-la-Neuve",,,,way
"Route de Marche les Dames",,,,way
"Route de Saint-Gérard",,,,way
"Route de Spy",,,,way
"Route de Wasseiges",,,,way
"Route de la Lache",,,,way
"Route de la Navinne",,,,way
"Route des Canons",,,,way
"Route des Forts",,,,way
"Route des Isnes",,,,way
"Rue Adam",,,,way
"Rue Adolphe Bastin",,,,way
"Rue Adolphe Jardon",,,,way
"Rue Adolphe Mazy",,,,way
"Rue Adolphe Ortmans",,,,way
"Rue Adolphe Parmentier",,,,way
"Rue Adrien Lorphèvre",,,,way
"Rue Adrien de Prémorel",,,,way
"Rue Aibye",,,,way
"Rue Aimable Vigneron",,,,way
"Rue Aimable Vigneron-Colin",,,,way
"Rue Aimé Arnould",,,,way
"Rue Albert Michiels",,,,way
"Rue Alexandre Colin",,,,way
"Rue Alfred Bequet",,,,way
"Rue Alfred Brasseur",,,,way
"Rue Alfred Denis",,,,way
"Rue Alfred Junné",,,,way
"Rue Alfred Stévenne",,,,way
"Rue Alphonse Delonnoy",,,,way
"Rue Alphonse Van Gricken",,,,way
"Rue Antoine Del Marmol",,,,way
"Rue Antoine Melin",,,,way
"Rue Antoine Nélis",,,,way
"Rue Armand de Wasseige",,,,way
"Rue Arsène Grosjean",,,,way
"Rue Arthur Blairon",,,,way
"Rue Arthur Joseph Piersotte",,,,way
"Rue Arthur Mahaux",,,,way
"Rue Artoisenet",,,,way
"Rue Asty-Moulin",,,,way
"Rue Auguste Dandoy",,,,way
"Rue Auguste Leblanc",,,,way
"Rue Auguste Lebrun",,,,way
"Rue Auguste Maquet",,,,way
"Rue Aux Ruwales",,,,way
"Rue Badoux",,,,way
"Rue Baivy",,,,way
"Rue Balthasar-Florence",,,,way
"Rue Bas de la Place",,,,way
"Rue Basil Dziky",,,,way
"Rue Basse",,,,way
"Rue Basse Chaussée",,,,way
"Rue Basse Chaussée - Rue de Cognelée",,,,way
"Rue Basse Marcelle",,,,way
"Rue Basse Neuville",,,,way
"Rue Bel Horizon",,,,way
"Rue Belle-Vue",,,,way
"Rue Bertrand Janquin",,,,way
"Rue Betsy Castreman",,,,way
"Rue Blondeau",,,,way
"Rue Bois d'Esneux",,,,way
"Rue Bois de Boquet",,,,way
"Rue Bois de Dave",,,,way
"Rue Bois de Lahaut",,,,way
"Rue Bois de Wellenne",,,,way
"Rue Bois des Maires",,,,way
"Rue Bord de l'Eau",,,,way
"Rue Borgnet",,,,way
"Rue Bosret",,,,way
"Rue Bossimé",,,,way
"Rue Bourgmestre Fernand Colon",,,,way
"Rue Bout du Village",,,,way
"Rue Bruno",,,,way
"Rue Camille Charlier",,,,way
"Rue Camille Dessenius",,,,way
"Rue Camille Godefroid",,,,way
"Rue Camille Hennuy",,,,way
"Rue Capitaine Aviateur Jacquet",,,,way
"Rue Capitaine Jomouton",,,,way
"Rue Carrière Garot",,,,way
"Rue Carrières du Fayt",,,,way
"Rue Catherine de Savoie",,,,way
"Rue Champêtre",,,,way
"Rue Champs-de-Malonne",,,,way
"Rue Charles Bilquin",,,,way
"Rue Charles Bouvier",,,,way
"Rue Charles Degalan",,,,way
"Rue Charles Karler",,,,way
"Rue Charles Lamquet",,,,way
"Rue Charles Simon",,,,way
"Rue Charles Wérotte",,,,way
"Rue Charles Zoude",,,,way
"Rue Château de Flawinne",,,,way
"Rue Château des 4 Seigneurs",,,,way
"Rue Château des Balances",,,,way
"Rue Chaudes-Voies",,,,way
"Rue Chevalier David",,,,way
"Rue Clément Noël",,,,way
"Rue Commandant Materne",,,,way
"Rue Commandant Tilot",,,,way
"Rue Courte",,,,way
"Rue Courtenay",,,,way
